"Géographie";"Niveau Géo";"Mesure démographie entreprises et établissements";"Activité économique";"Forme légale";"Fréquence";Période;Valeur
"Montlhéry";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2012;6
"Igny";"Commune";"Nombre de nouvelles unités légales enregistrées";"Administration publique, enseignement, santé humaine et action sociale";"Autres sociétés";"Annuel";2012;1
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Société par actions simplifiée";"Annuel";2012;1
"Wissous";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Société par actions simplifiée";"Annuel";2012;5
"Palaiseau";"Commune";"Nombre de nouvelles unités légales enregistrées";"Commerce de gros et de détail, transports, hébergement et restauration";"Entrepreneur individuel";"Annuel";2012;29
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Industrie manufacturière, industries extractives et autres";"Autres sociétés";"Annuel";2012;1
"Massy";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société par actions simplifiée";"Annuel";2012;5
"La Ville-du-Bois";"Commune";"Nombre de nouvelles unités légales enregistrées";"Information et communication";"Société à responsabilité limitée (SARL)";"Annuel";2012;1
"Les Ulis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Construction";"Société à responsabilité limitée (SARL)";"Annuel";2012;11
"Verrières-le-Buisson";"Commune";"Nombre de nouvelles unités légales enregistrées";"Autres activités de services";"Société à responsabilité limitée (SARL)";"Annuel";2012;2
"Marcoussis";"Commune";"Nombre de nouvelles unités légales enregistrées";"Activités immobilières";"Société à responsabilité limitée (SARL)";"Annuel";2012;1
