"Géographie";"Niveau Géo";"Âge";"Indicateur de résidence antérieure ";"Mesure du recensement ";"Fréquence";Période;Valeur
"La Ville-du-Bois";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;22
"Linas";"Commune";"De 25 à 54 ans";"Dans une autre commune";"Population";"Annuel";2022;321,041416
"Linas";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;116,576508
"Linas";"Commune";"55 ans ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;13,030297
"Wissous";"Commune";"De 1 à 14 ans";"Dans une autre commune";"Population";"Annuel";2022;86,339988
"Nozay";"Commune";"De 1 à 14 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;31,919412
"Wissous";"Commune";"De 25 à 54 ans";"Autre logement dans la même commune";"Population";"Annuel";2022;117,749679
"Linas";"Commune";"55 ans ou plus";"Dans une autre commune";"Population";"Annuel";2022;32,516638
"Chilly-Mazarin";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;484,025358
"Les Ulis";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;23146,650348
"Gif-sur-Yvette";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;19096,621959
"Longjumeau";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;409,928235
"Palaiseau";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;1218,580519
"Épinay-sur-Orge";"Commune";"1 an ou plus";"Autre logement dans la même commune";"Population";"Annuel";2022;117,400015
"Vauhallan";"Commune";"1 an ou plus";"Hors de la région en métropole";"Population";"Annuel";2022;2,706579
"Igny";"Commune";"1 an ou plus";"Autre département de la région";"Population";"Annuel";2022;232,095726
"Wissous";"Commune";"1 an ou plus";"Dans le même logement";"Population";"Annuel";2022;6131,629064
